job_id,type,nodes,start_time,subtime,actual_finish_time,req_finish_time,terminated,finish_time
1,execution_finished,"[0, 1, 2, 3, 4, 5, 6, 7]",60.0,60,166.0,166.0,False,166.0
2,execution_finished,"[8, 9, 10, 11, 12, 13, 14, 15, 16]",94.0,94,250.0,250.0,False,250.0
3,execution_finished,"[0, 1, 2, 3, 4, 5, 6, 7, 17]",249.0,249,350.0,350.0,False,350.0
4,execution_finished,"[8, 9, 10, 11, 12, 13, 14]",269.0,269,391.0,391.0,False,391.0
5,execution_finished,"[0, 1, 2, 3, 4, 5, 6, 7]",350.0,313,450.0,450.0,False,450.0
6,execution_finished,"[8, 9, 10, 11, 12, 13, 14, 15]",391.0,321,459.0,459.0,False,459.0
8,execution_finished,"[8, 9, 10, 11, 12, 13, 14, 15]",484.0,484,575.0,575.0,False,575.0
7,execution_finished,"[0, 1, 2, 3, 4, 5, 6, 7]",450.0,350,589.0,589.0,False,589.0
10,execution_finished,"[0, 1, 2, 3, 4, 5, 6]",589.0,563,634.0,634.0,False,634.0
9,execution_finished,"[8, 9, 10, 11, 12, 13, 14, 15, 17]",575.0,547,683.0,683.0,False,683.0
12,execution_finished,"[9, 10, 11, 12, 13, 14, 15, 17]",683.0,656,769.0,769.0,False,769.0
11,execution_finished,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",683.0,602,812.0,812.0,False,812.0
13,execution_finished,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",812.0,748,905.0,905.0,False,905.0
14,execution_finished,"[9, 10, 11, 12, 13, 14, 15]",800.0,780,914.0,914.0,False,914.0
15,execution_finished,"[0, 1, 2, 3, 4, 5, 6, 7]",905.0,800,971.0,971.0,False,971.0
16,execution_finished,"[8, 9, 10, 11, 12, 13, 14, 15]",914.0,801,973.0,973.0,False,973.0
17,execution_finished,"[0, 1, 2, 3, 4, 5, 6, 7, 17]",971.0,844,1080.0,1080.0,False,1080.0
18,execution_finished,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",1080.0,894,1188.0,1188.0,False,1188.0
19,execution_finished,"[0, 1, 2, 3, 4, 5, 6]",1188.0,1044,1262.0,1262.0,False,1262.0
20,execution_finished,"[7, 8, 9, 10, 11, 12, 13, 14, 15]",1188.0,1154,1314.0,1314.0,False,1314.0
21,execution_finished,"[0, 1, 2, 3, 4, 5, 6, 17]",1262.0,1220,1349.0,1349.0,False,1349.0
22,execution_finished,"[7, 8, 9, 10, 11, 12, 13, 14, 15]",1314.0,1258,1369.0,1369.0,False,1369.0
23,execution_finished,"[0, 1, 2, 3, 4, 5, 6, 17]",1349.0,1283,1411.0,1411.0,False,1411.0
24,execution_finished,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",1598.0,1598,1704.0,1704.0,False,1704.0
25,execution_finished,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",1704.0,1647,1765.0,1765.0,False,1765.0
26,execution_finished,"[0, 1, 2, 3, 4, 5, 6, 7]",1778.0,1778,1935.0,1935.0,False,1935.0
27,execution_finished,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",1935.0,1827,2020.0,2020.0,False,2020.0
28,execution_finished,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",2020.0,1900,2150.0,2150.0,False,2150.0
29,execution_finished,"[0, 1, 2, 3, 4, 5]",2150.0,1979,2209.0,2209.0,False,2209.0
30,execution_finished,"[0, 1, 2, 3, 4, 5, 6]",2209.0,2066,2304.0,2304.0,False,2304.0
31,execution_finished,"[0, 1, 2, 3, 4, 5, 6]",2304.0,2100,2429.0,2429.0,False,2429.0
32,execution_finished,"[0, 1, 2, 3, 4, 5, 6, 7]",2429.0,2152,2539.0,2539.0,False,2539.0
33,execution_finished,"[0, 1, 2, 3, 4, 5, 6]",2539.0,2173,2610.0,2610.0,False,2610.0
34,execution_finished,"[0, 1, 2, 3, 4, 5, 6, 7]",2610.0,2185,2699.0,2699.0,False,2699.0
35,execution_finished,"[0, 1, 2, 3, 4, 5, 6, 7]",2699.0,2311,2743.0,2743.0,False,2743.0
36,execution_finished,"[0, 1, 2, 3, 4, 5, 6]",2743.0,2422,2799.0,2799.0,False,2799.0
37,execution_finished,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",2959.0,2521,3052.0,3052.0,False,3052.0
38,execution_finished,"[0, 1, 2, 3, 4, 5, 6, 7]",3052.0,2623,3129.0,3129.0,False,3129.0
39,execution_finished,"[0, 1, 2, 3, 4, 5, 6, 7]",3129.0,2869,3205.0,3205.0,False,3205.0
40,execution_finished,"[0, 1, 2, 3, 4, 5, 6]",3205.0,3026,3259.0,3259.0,False,3259.0
41,execution_finished,"[0, 1, 2, 3, 4, 5, 6, 7]",3259.0,3176,3300.0,3300.0,False,3300.0
42,execution_finished,"[8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18]",3796.0,3305,3864.0,3864.0,False,3864.0
43,execution_finished,"[8, 9, 10, 11, 12, 13, 14]",3864.0,3676,3983.0,3983.0,False,3983.0
44,execution_finished,"[8, 9, 10, 11, 12, 13, 14, 15, 16]",3983.0,3676,4059.0,4059.0,False,4059.0
